18.04.2019                   Dynamický výstup zostavy                          1
--------------------------------------------------------------------------------
Export dát o autách pre [redacted :-)]

Obdobie: 01.04.2019 - 31.12.9999
Záznamov: -

-------------------------------------------
|KFZKZ     |TEXT                          |
-------------------------------------------
|XY-MA 224 |ST E-UP!                      |
|XY-MA 227 |ST E-UP!                      |
|XY-MA 264 |ST UP!                        |
|XY-MB 921 |ST E-UP!                      |
|XY-MB 978 |ST UP! CNG                    |
|XY-MC 008 |ST E-UP!                      |
|XY-MC 010 |ST E-UP!                      |
|XY-MC 078 |ST E-UP!                      |
|XY-MC 079 |ST E-UP!                      |
|XY-MC 080 |ST E-UP!                      |
|XY-MC 082 |ST E-UP!                      |
|XY-MC 149 |ST TOUAREG                    |
|XY-MC 278 |ST UP!                        |
|XY-MC 279 |ST UP!                        |
|YZ-002 SI |ST TOURAN BMT CL AUT.         |
|YZ-002 SO |ST TIGUAN 4-M HL AUT.         |
|YZ-003 IE |ST UP!                        |
|YZ-004 SO |ST GOLF HL AUT.               |
|YZ-004 TV |ST GOLF SPORTSV. HL AUT.      |
|YZ-005 TV |ST ARTEON R-LINE MECH.        |
|YZ-006 PS |ST TOUAREG V6 AUT.            |
|YZ-006 SO |ST TIGUAN ALLS. 4-M HL AUT.   |
|YZ-006 TG |ST UP! HIGH. MECH.            |
|YZ-009 SO |ST PASSAT VAR. BMT HL AUT.    |
|YZ-010 TG |ST TIGUAN 4-M HL AUT.         |
|YZ-012 SG |ST T6 CARAVELLE 4-M CL AUT.   |
|YZ-012 SI |ST UP! HIGH. AUT.             |
|YZ-013 PS |ST UP! MOVE MECH.             |
|YZ-020 PS |ST TOUAREG V6 AUT.            |
|YZ-023 TG |ST UP! CROSS MECH.            |
|YZ-027 SI |ST TIGUAN CL MECH.            |
|YZ-027 SO |ST TOURAN CL MECH.            |
|YZ-029 SI |ST UP! HIGH. MECH.            |
|YZ-030 SI |ST GOLF GTI MECH.             |
|YZ-033 OB |ST GOLF VAR.MECH. OBJ.ŠEDÝ    |
|YZ-033 SO |ST T6 CARAVELLE 4-M CL AUT.   |
|YZ-033 TG |ST UP! HIGH. MECH.            |
|YZ-035 UG |ST UP! HIGH. MECH.            |
|YZ-037 SI |ST UP! HIGH. MECH.            |
|YZ-037 TI |ST SHARAN BMT CL AUT.         |
|YZ-037 UI |ST GOLF CL AUT.               |
|YZ-038 UG |ST TOUAREG V6 TDI AUT.        |
|YZ-038 UI |ST E-GOLF CL AUT.             |
|YZ-039 UG |ST E-UP!                      |
|YZ-040 UG |ST TOUAREG V6 TDI AUT.        |
|YZ-042 UG |ST ARTEON ELEGANCE AUT.       |
|YZ-043 UG |ST TOUAREG V6 TDI AUT.        |
|YZ-043 UI |ST ARTEON R-LINE MECH.        |
|YZ-044 UI |ST ARTEON AUT.                |
|YZ-045 UI |ST GOLF VAR. CL AUT.          |
|YZ-046 UI |ST SHARAN CL AUT.             |
|YZ-048 TB |ST TIGUAN 4-M HL AUT.         |
|YZ-048 UI |ST TOURAN CL MECH.            |
|YZ-050 UF |ST TOUAREG V6 TDI AUT.        |
|YZ-050 UG |ST UP! GTI                    |
|YZ-051 TB |ST TIGUAN CL AUT.             |
|YZ-052 UF |ST E-UP!                      |
|YZ-052 UG |ST E-UP!                      |
|YZ-052 UI |ST PASSAT VAR. TL MECH.       |
|YZ-055 PE |ST BEETLE CAB. BMT AUT.       |
|YZ-056 TB |ST TIGUAN ALLS. 4-M CL MECH.  |
|YZ-056 TM |ST TOUAREG TDI V6             |
|YZ-056 UF |ST TOUAREG V6 TDI AUT.        |
|YZ-057 RY |ST GOLF HL AUT.               |
|YZ-061 RY |ST SHARAN BMT CL AUT.         |
|YZ-061 TB |ST TOUAREG AUT.               |
|YZ-062 RM |ST T6 CARAVELLE 4-M CL MECH.  |
|YZ-063 SE |ST CARAVELLE                  |
|YZ-063 UI |ST SHARAN HL AUT.             |
|YZ-065 UI |ST TIGUAN ALLS. 4-M HL AUT.   |
